id,price,neighbourhood_group,neighbourhood
930304173764709348,655,Sant Martí,el Parc i la Llacuna del Poblenou
930367398389272016,70,Sants-Montjuïc,Hostafrancs
928064853637346916,100,Sant Martí,el Camp de l'Arpa del Clot
928066316051986726,30,Eixample,la Nova Esquerra de l'Eixample
930388554418127685,57,Ciutat Vella,la Barceloneta
928069083115212573,30,Eixample,la Nova Esquerra de l'Eixample
930818979541095712,41,Ciutat Vella,el Barri Gòtic
928136643746515233,160,Eixample,la Sagrada Família
930832834615462511,130,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
930845676833224500,521,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
928138089418828960,23,Eixample,la Sagrada Família
928143023918049763,50,Ciutat Vella,el Barri Gòtic
930852505397500283,210,Sant Martí,el Parc i la Llacuna del Poblenou
930936763960035776,80,Eixample,el Fort Pienc
928170847953814069,114,Les Corts,les Corts
928171736971546786,157,Sarrià-Sant Gervasi,Sarrià
928177339329335641,50,Sants-Montjuïc,Hostafrancs
930956542229200068,85,Ciutat Vella,el Raval
928179921967381572,79,Ciutat Vella,la Barceloneta
931012013750266564,47,Sants-Montjuïc,el Poble Sec
928190549913763317,230,Sarrià-Sant Gervasi,les Tres Torres
931116079145077715,110,Gràcia,la Vila de Gràcia
928233028879584858,100,Ciutat Vella,el Raval
928249134845042681,109,Eixample,la Sagrada Família
931591920999936286,171,Sant Martí,el Camp de l'Arpa del Clot
928331867758694507,60,Sants-Montjuïc,el Poble Sec
931596048425304188,229,Eixample,l'Antiga Esquerra de l'Eixample
931750942372132331,49,Gràcia,la Vila de Gràcia
928365307127786240,40,Horta-Guinardó,el Baix Guinardó
928376770771231972,76,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
931769878184778192,185,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
928600397518844476,100,Sants-Montjuïc,Sants
931780047813101987,169,Eixample,l'Antiga Esquerra de l'Eixample
928636950080816925,84,Sant Martí,el Poblenou
931835723411087660,184,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
928639476869068334,120,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
931871743791657871,55,Horta-Guinardó,el Baix Guinardó
928655138806191772,22,Horta-Guinardó,el Guinardó
928687114439081613,143,Sant Martí,el Parc i la Llacuna del Poblenou
932025157189924651,42,Eixample,la Dreta de l'Eixample
928694975167882091,47,Eixample,Sant Antoni
932056963203047601,148,Sant Martí,la Vila Olímpica del Poblenou
928724620265078369,84,Ciutat Vella,el Raval
932115482528736062,85,Ciutat Vella,el Barri Gòtic
928739465039834566,66,Ciutat Vella,el Barri Gòtic
928818439522893811,62,Sant Andreu,Sant Andreu
932321308830770664,156,Sants-Montjuïc,Sants - Badal
928847700778379155,80,Sant Martí,el Poblenou
932385496343675264,154,Eixample,la Sagrada Família
